company_name,primary_role,permalink,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,cb_url,logo_url,profile_image_url,twitter_url,alias,uuid,created_at,updated_at
cloud.IQ,company,/organization/cloud-iq,cloud-iq.com,http://www.cloud-iq.com,GBR,,London,London,N1 6HQ,Falkirk Street,operating,cloud.IQ is an AI and machine learning based automated conversion rate optimisation platform for e-commerce businesses.,apps|e-commerce|retail technology|saas|software,apps|commerce and shopping|hardware|software,3,13225492.7863766,2012-01-01,2012-02-01,2017-03-09,,11-50,uk@cloud-iq.com,+4408454989426,http://www.facebook.com/cloudiqapps,http://www.linkedin.com/company/cloud-iq,https://www.crunchbase.com/organization/cloud-iq,https://www.crunchbase.com/organization/cloud-iq/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489185489/wxgslgx8tbvgxnivyequ.png,https://www.twitter.com/cloudiqapps,,9bbd9edd-0b7b-ca4d-a0be-6b8ed4c66468,2013-02-06 18:46:37,2017-03-10 22:38:12.880151
Cradlepoint,company,/organization/cradlepoint,cradlepoint.com,http://www.cradlepoint.com,USA,ID,Boise,Boise,83702-5389,1111 W. Jefferson Street,operating,"Cradlepoint is a global leader in cloud-based network solutions for connecting people, places, and things over wired and wireless broadband.",cloud management|network hardware|wireless,hardware|information technology|internet services|mobile|software,7,162128255,2006-01-01,2009-07-27,2017-03-09,,251-500,sales@cradlepoint.com,(855) 813-3385,http://www.facebook.com/pages/cradlepoint/292869307387,https://www.linkedin.com/company/137040?trk=vsrp_companies_res_name&trkinfo=vsrpsearchid%3a22428691486417967085%2cvsrptargetid%3a137040%2cvsrpcmpt%3aprimary,https://www.crunchbase.com/organization/cradlepoint,https://www.crunchbase.com/organization/cradlepoint/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397184453/adabb272e8eed9d772cfa77bda352aae.jpg,https://www.twitter.com/cradlepoint,,070a10cb-6c19-ed24-ad38-4358e06cb56b,2009-07-10 13:46:58,2017-03-10 05:47:27.586462
Crealytics,company,/organization/crealytics,crealytics.com,http://www.crealytics.com,DEU,,Passau,Passau,94032,Brunngasse 1,operating,Crealytics support leading international ecommerce companies to drive performance in product advertising and paid search.,advertising|e-commerce|search engine|software,advertising|commerce and shopping|internet services|sales and marketing|software,5,9300000,2008-10-27,2010-01-25,2017-03-09,,101-250,info@crealytics.com,+498512137280,http://www.facebook.com/crealytics,http://www.linkedin.com/company/897108,https://www.crunchbase.com/organization/crealytics,https://www.crunchbase.com/organization/crealytics/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397201571/02fd27d14180da17024e720c4aeb4a92.png,https://www.twitter.com/crealytics,,31b9fa3c-6e00-9ae9-f5b8-e29dfcca21f3,2010-01-26 14:20:19,2017-01-31 09:34:24.508327
DraftKings,company,/organization/draftkings,draftkings.com,http://www.draftkings.com,USA,MA,Boston,Boston,02110,"225 Franklin St, 26th Floor",operating,"DraftKings is a skill-based daily fantasy sports platform that allows fans to compete in single-day, online games for prizes.",fantasy sports|online games|sports,gaming|sports,9,696400000,2011-01-01,2012-07-19,2017-03-09,,101-250,support@draftkings.com,,http://www.facebook.com/draftkings,http://www.linkedin.com/company/draftkings-inc-,https://www.crunchbase.com/organization/draftkings,https://www.crunchbase.com/organization/draftkings/primary-image/raw,http://public.crunchbase.com/t_api_images/v1473179902/ayygmgmr2kyz72bskpnj.jpg,https://www.twitter.com/draftkings,,b61a9986-0ae3-f9ec-2fba-0d5371432b69,2012-06-28 13:46:54,2017-03-13 01:05:14.69146
Endor,company,/organization/endor,endor.com,http://www.endor.com,ISR,,Tel Aviv,Tel Aviv,,"",operating,Predictive software platform that lets business users ask any predictive question and get high-quality results in minutes instead of months.,big data|machine learning|predictive analytics,data and analytics|software,1,5000000,2014-01-01,2017-03-09,2017-03-09,,1-10,,,https://www.facebook.com/endorscience-1105921412798077/,https://www.linkedin.com/company/9343045,https://www.crunchbase.com/organization/endor,https://www.crunchbase.com/organization/endor/primary-image/raw,http://public.crunchbase.com/t_api_images/v1479312331/pa0xqwl4fjzdklflopxg.jpg,https://www.twitter.com/endorscience,,9b3d15a2-c421-4a5f-7c94-cd92e7d2ee12,2015-04-02 04:39:25,2017-03-08 19:34:52.784186
Fuyoukache,company,/organization/fuyoukache,fuyoukache.com,http://www.fuyoukache.com/,CHN,,Beijing,Beijing,,"",operating,Fuyoukache is a online truck logistics platform.,,,1,36193155.6329821,,2017-03-09,2017-03-09,,-,,,,,https://www.crunchbase.com/organization/fuyoukache,https://www.crunchbase.com/organization/fuyoukache/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489129106/m3danhy2axgzzsrh1xae.png,,,46ae9ea4-9e49-6402-da34-0265882a2a72,2017-03-10 06:28:11.724058,2017-03-10 07:00:19.601433
Kiddom,company,/organization/kiddom,kiddom.co,http://www.kiddom.co,USA,CA,SF Bay Area,San Francisco,94103,"1067 Market St.,, Suite #2001",operating,Platform powering the next generation of K-12 classrooms.,edtech|education|e-learning,education|software,1,6500000,2012-01-01,2017-03-09,2017-03-09,,11-50,support@kiddom.co,,https://www.facebook.com/kiddomapp,https://www.linkedin.com/company/kiddom,https://www.crunchbase.com/organization/kiddom,https://www.crunchbase.com/organization/kiddom/primary-image/raw,http://public.crunchbase.com/t_api_images/v1463598590/pzyzwfkjjovyibqs5op4.png,https://www.twitter.com/kiddomapp,,7f1698c0-9146-546c-ac5d-ef9af98ebeb8,2015-07-16 06:09:12,2017-03-09 15:31:33.91995
Kidizen,company,/organization/kidizen,kidizen.com,http://www.kidizen.com,USA,MN,Minneapolis,Minneapolis,55401,"",operating,Kidizen is the parent-to-parent marketplace to share and sell the things we love.,collaborative consumption|mobile|parenting,community and lifestyle|mobile,8,5050000,2010-01-01,2010-11-13,2017-03-09,,1-10,hello@kidizen.com,612-460-7231,http://www.facebook.com/itizen,http://www.linkedin.com/company/1072622,https://www.crunchbase.com/organization/kidizen,https://www.crunchbase.com/organization/kidizen/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489089656/qiesqzd8b4x6zp7x24ht.png,https://www.twitter.com/kidizen,,72645a5f-4de9-b136-445a-32c812d2bd10,2010-06-29 22:39:41,2017-03-11 01:04:21.007691
mycs,company,/organization/mycs,de.mycs.com,https://de.mycs.com/,DEU,,Berlin,Berlin,,"",operating,An online retailer for customisable furniture,furniture,consumer goods,1,10562450.4885133,2014-05-09,2017-03-09,2017-03-09,,-,support@mycs.com,+498001004050,https://www.facebook.com/pg/mycscom/about/?,,https://www.crunchbase.com/organization/mycs,https://www.crunchbase.com/organization/mycs/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489064609/jjbiqobukwzwinuwih5o.png,https://www.twitter.com/mycs_com?,,7d869e5b-2fbb-fc04-53fe-3834683d0d37,2017-03-09 13:03:39.305458,2017-03-10 05:55:28.968388
PayQix,company,/organization/payqix,pre.payqix.com,https://pre.payqix.com/,,,,,,,operating,"Business, Marketing, and Transactional Automation.",,,1,11000000,2013-01-01,2017-03-09,2017-03-09,,1-10,,,,,https://www.crunchbase.com/organization/payqix,https://www.crunchbase.com/organization/payqix/primary-image/raw,http://public.crunchbase.com/t_api_images/v1462564378/voydxgsqyovdycbdrvhf.jpg,,,a6173aac-33f1-62fe-b32b-517cde4457a1,2016-05-06 19:54:16.974081,2017-03-10 04:48:51.458325
Prevedere,company,/organization/prevedere,prevederesoftware.com,http://www.prevederesoftware.com,USA,CA,SF Bay Area,Sunnyvale,94085,440 North Wolf Rd,operating,Prevedére is an enterprise software company enabling companies to identify the external economic factors that drive their business results.,big data|predictive analytics|saas|software,data and analytics|software,4,19551530,2012-01-25,2012-02-28,2017-03-09,,11-50,richwagner@prevederesoftware.com,(888) 686-7746,http://www.facebook.com/prevederesoftware,http://www.linkedin.com/company/2569313,https://www.crunchbase.com/organization/prevedere,https://www.crunchbase.com/organization/prevedere/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397185852/bc7134245f230b4834cb317b664b8fbf.png,https://www.twitter.com/prevedere,,e34bd9f4-a52b-5b75-ec48-2119a781b32a,2012-10-09 00:18:58,2017-03-09 13:02:08.594912
RiskSense,company,/organization/risksense,risksense.com,https://www.risksense.com/,USA,NM,Albuquerque,Albuquerque,NM 87109,4200 Osuna Road NE Ste 3-300,operating,"RiskSense ingests vulnerability data from your endpoints, networks and applications then correlate .",cyber security|network security|risk management,information technology|privacy and security,2,12200839.0687031,2015-01-01,2016-08-02,2017-03-09,,101-250,info@risksense.com,+115052179422,https://www.facebook.com/risksenseinc,https://www.linkedin.com/company/risksense,https://www.crunchbase.com/organization/risksense,https://www.crunchbase.com/organization/risksense/primary-image/raw,http://public.crunchbase.com/t_api_images/v1470197048/foyo7pjexthlloachjcu.png,https://www.twitter.com/risksense,,3cceeb81-c474-953c-069c-68c59cab0eb3,2016-05-26 08:44:02.689896,2017-03-10 04:24:38.144275
Small Giant Games,company,/organization/small-giant-games,smallgiantgames.com,http://www.smallgiantgames.com,FIN,,Helsinki,Helsinki,00130,Rikhardinkatu 4 B 21,operating,"We're an independent game development company based in Helsinki, Finland. We are currently hard at work on our first title for the iOS",mobile|pc games|video games,gaming|mobile,3,9553723.2637972,2013-01-01,2013-10-18,2017-03-09,,1-10,contact@smallgiantgames.com,,http://www.facebook.com/pages/small-giant-games/139400512903852,https://www.linkedin.com/company/small-giant-games,https://www.crunchbase.com/organization/small-giant-games,https://www.crunchbase.com/organization/small-giant-games/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397183549/4f93283ff7e661e8cbca6b9ff4586db1.bmp,https://www.twitter.com/smallgiantgames,,932a95b1-f323-b70b-f2b0-a5db222cf0ba,2013-11-15 18:03:06,2017-03-09 10:45:33.301853
TurnKey Vacation Rentals,company,/organization/turnkey-vacation-rentals,turnkeyvr.com,http://turnkeyvr.com,USA,TX,Austin,Austin,78745,"4544 South Lamar - Building 300, Suite 350",operating,TurnKey Vacation Rental Management is a technology-enabled vacation rental management company in over 25 markets nationwide.,leisure|tourism|travel,community and lifestyle|travel and tourism,5,41000000,2012-10-01,2013-08-13,2017-03-09,,101-250,tj.clark@turnkeyvr.com,(888)512-0498,http://www.facebook.com/turnkeyvacationrentals,http://www.linkedin.com/company/2893595,https://www.crunchbase.com/organization/turnkey-vacation-rentals,https://www.crunchbase.com/organization/turnkey-vacation-rentals/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397187712/39130fdce2ff25204c08c8decc598e21.jpg,https://www.twitter.com/teejclark,,c21b0a84-41eb-90e3-eed2-440122d0eb6d,2013-08-09 23:05:12,2017-03-09 12:16:50.159022
Viva Republica,company,/organization/viva-republica,toss.im,http://toss.im,KOR,,Seoul,Seoul,135-545,"12, Gangnam-daero 112-gil, Gangnam-gu",operating,"Viva Republica is a fintech startup to provide innovative P2P money transfer services through mobile applicaion called ""Toss.""",fintech|software|transaction processing,financial services|payments|software,4,77200000,2013-08-02,2014-08-09,2017-03-09,,11-50,support@toss.im,+821027310130,https://www.facebook.com/toss.revolution,https://www.linkedin.com/company-beta/10571084/,https://www.crunchbase.com/organization/viva-republica,https://www.crunchbase.com/organization/viva-republica/primary-image/raw,http://public.crunchbase.com/t_api_images/v1472237015/z8ph6knypixbmdzjbdev.jpg,https://www.twitter.com/toss_service,[],1d11146d-1fe4-09f2-7965-da2fb97de4c3,2014-03-27 17:52:31,2017-03-09 19:44:23.996422
